Date;Price;Open;High;Low;Vol.;Change
10/18/2013;168.3;157.6;168.3;156.5;25.89*1000;6.78*0.01
10/17/2013;157.6;152.8;159.9;150.8;15.88*1000;3.12*0.01
10/16/2013;152.8;158.1;163.0;144.2;42.78*1000;-3.33*0.01
10/15/2013;158.1;151.4;158.1;150.6;15.73*1000;4.44*0.01
10/14/2013;151.4;147.5;153.7;146.0;29.99*1000;2.60*0.01
10/13/2013;147.5;142.9;147.6;141.5;16.17*1000;3.25*0.01
10/12/2013;142.9;140.1;143.1;139.4;11.02*1000;1.99*0.01
10/11/2013;140.1;140.4;141.9;138.9;7.25*1000;-0.22*0.01
10/10/2013;140.4;139.5;141.7;138.5;11.08*1000;0.65*0.01
10/09/2013;139.5;136.5;142.1;135.8;17.49*1000;2.21*0.01
10/08/2013;136.5;135.8;137.8;135.6;5.23*1000;0.51*0.01
10/07/2013;135.8;137.8;139.0;135.1;7.36*1000;-1.45*0.01
10/06/2013;137.8;136.7;138.0;134.1;4.89*1000;0.80*0.01
10/05/2013;136.7;136.8;138.0;135.3;5.00*1000;-0.09*0.01
10/04/2013;136.8;131.0;139.8;128.5;18.51*1000;4.45*0.01
10/03/2013;131.0;123.0;132.0;120.1;35.27*1000;6.50*0.01
10/02/2013;123.0;140.3;141.9;109.7;111.32*1000;-12.33*0.01
10/01/2013;140.3;141.9;144.4;139.4;9.57*1000;-1.13*0.01
09/30/2013;141.9;143.9;145.8;138.1;14.63*1000;-1.38*0.01
09/29/2013;143.9;142.5;145.8;141.4;18.10*1000;0.97*0.01
09/28/2013;142.5;138.9;143.0;138.0;13.66*1000;2.57*0.01
09/27/2013;138.9;137.1;142.7;134.8;27.14*1000;1.33*0.01
09/26/2013;137.1;135.0;139.0;134.7;6.54*1000;1.56*0.01
09/25/2013;135.0;134.8;138.0;134.7;9.52*1000;0.16*0.01
09/24/2013;134.8;133.4;136.6;132.5;8.58*1000;1.03*0.01
09/23/2013;133.4;134.0;135.0;132.0;6.00*1000;-0.45*0.01
